Label,Aquaintance,Friend,Study,Support,Politics,OldFriend,Grade,LeftRight,Group
70l,['s44'],[],['s44'],['s44'],[],[],"[('s44', 3.0)]","[('s44', 6.0)]","[('s44', 1.0)]"
s44,['70l'],['70l'],[],[],[],[],"[('70l', 3.0)]","[('70l', 4.0)]","[('70l', 1.0)]"
467,"['199', 'ym6', 'e8i', 'f7n', 'o2r']","['199', 'f7n']","['199', 'ym6', 'o2r']",[],['e8i'],[],"[('199', 2.0), ('ym6', 1.3), ('e8i', 2.3), ('f7n', 2.0), ('o2r', 2.7)]","[('199', 2.0), ('ym6', 3.0), ('e8i', 3.0), ('f7n', 4.0), ('o2r', 3.0)]","[('199', 1.0), ('ym6', 2.0), ('e8i', 2.0), ('f7n', 1.0), ('o2r', 3.0)]"
cav,"['0fo', 'yyj', 'hro', 'wom', 'rji', 'zfv', '7mf', '3rt', 'i9d']","['0fo', 'yyj', 'hro', 'wom', 'rji', 'zfv', '7mf', '3rt', 'i9d']",[],"['0fo', 'yyj', 'hro', 'wom', 'rji', 'zfv', '7mf', '3rt', 'i9d']",[],[],"[('0fo', 1.0), ('yyj', 1.0), ('hro', 1.0), ('wom', 1.0), ('rji', 1.0), ('zfv', 1.0), ('7mf', 1.0), ('3rt', 1.0), ('i9d', 1.0)]","[('0fo', 6.0), ('yyj', 6.0), ('hro', 6.0), ('wom', 6.0), ('rji', 6.0), ('zfv', 6.0), ('7mf', 6.0), ('3rt', 6.0), ('i9d', 6.0)]","[('0fo', 1.0), ('yyj', 1.0), ('hro', 1.0), ('wom', 1.0), ('rji', 2.0), ('zfv', 2.0), ('7mf', 2.0), ('3rt', 2.0), ('i9d', 2.0)]"
6nj,"['cos', 'ats', 'epz']","['cos', 'ats', 'epz']",['cos'],"['cos', 'ats']",[],"['cos', 'ats']","[('cos', 2.0), ('ats', 1.7), ('epz', 2.0)]","[('cos', 4.0), ('ats', 3.0), ('epz', 2.0)]","[('cos', 1.0), ('ats', 1.0), ('epz', 1.0)]"
cos,"['6nj', 'ats', 'epz']","['6nj', 'ats', 'epz']",['6nj'],"['6nj', 'ats', 'epz']",[],"['6nj', 'ats']","[('6nj', 2.0), ('ats', 1.7), ('epz', 2.0)]","[('6nj', 3.0), ('ats', 3.0), ('epz', 2.0)]","[('6nj', 1.0), ('ats', 1.0), ('epz', 1.0)]"
pfr,"['3ue', 'cav', '0fo', 'yyj', 'hro', 'wom', 'ayq', 'd8d']","['3ue', 'cav', '0fo', 'hro', 'wom', 'ayq', 'd8d']",[],"['3ue', 'cav', '0fo', 'hro', 'wom', 'ayq']",[],[],"[('3ue', 1.0), ('cav', 1.0), ('0fo', 1.0), ('yyj', 1.0), ('hro', 1.0), ('wom', 1.0), ('ayq', 1.0), ('d8d', 1.0)]","[('3ue', 7.0), ('cav', 5.0), ('0fo', 5.0), ('yyj', 5.0), ('hro', 5.0), ('wom', 5.0), ('ayq', 5.0), ('d8d', 5.0)]","[('3ue', 2.0), ('cav', 1.0), ('0fo', 1.0), ('yyj', 1.0), ('hro', 1.0), ('wom', 1.0), ('ayq', 1.0), ('d8d', 2.0)]"
jjt,"['1ey', '1zx', '26o', 'ej8', '5sz', 'yyj']",['ej8'],"['1ey', '1zx', '26o', '5sz', 'yyj']",[],[],[],"[('1ey', 3.3), ('1zx', 3.3), ('26o', 3.3), ('ej8', 3.0), ('5sz', 3.3), ('yyj', 3.3)]","[('1ey', 2.0), ('1zx', 4.0), ('26o', 3.0), ('ej8', 4.0), ('5sz', 3.0), ('yyj', 3.0)]","[('1ey', 2.0), ('1zx', 2.0), ('26o', 2.0), ('ej8', 1.0), ('5sz', 2.0), ('yyj', 2.0)]"
ats,"['yc4', '6nj', 'cos', 'epz']","['yc4', '6nj', 'cos', 'epz']","['6nj', 'cos', 'epz']","['yc4', '6nj', 'cos']","['6nj', 'cos']",[],"[('yc4', 1.7), ('6nj', 2.0), ('cos', 2.3), ('epz', 2.3)]","[('yc4', 3.0), ('6nj', 3.0), ('cos', 4.0), ('epz', 5.0)]","[('yc4', 1.0), ('6nj', 2.0), ('cos', 2.0), ('epz', 2.0)]"
epz,"['cos', 'ats', '6nj']","['cos', 'ats', '6nj']","['cos', 'ats', '6nj']","['cos', 'ats', '6nj']",[],[],"[('cos', 2.0), ('ats', 2.0), ('6nj', 2.0)]","[('cos', 3.0), ('ats', 4.0), ('6nj', 3.0)]","[('cos', 1.0), ('ats', 1.0), ('6nj', 1.0)]"
